pattern,metric_name,input_type,size,run_id,elapsed_sec,status
dense-fragmented,cf,binary,2048,4,0.0013333791866898,ok
dense-fragmented,cf,binary,4096,0,0.0022279191762208,ok
dense-fragmented,cf,binary,4096,1,0.0022299103438854,ok
dense-fragmented,cf,binary,4096,2,0.0022414484992623,ok
dense-fragmented,cf,binary,4096,3,0.0022355569526553,ok
dense-fragmented,cf,binary,4096,4,0.0022478615865111,ok
dense-fragmented,cf,binary,8192,0,0.0040085595101118,ok
dense-fragmented,cf,binary,8192,1,0.0040223775431513,ok
dense-fragmented,cf,binary,8192,2,0.0040091406553983,ok
dense-fragmented,cf,binary,8192,3,0.0040064072236418,ok
dense-fragmented,cf,binary,8192,4,0.0039947917684912,ok
dense-fragmented,cf,binary,16384,0,0.0077009601518511,ok
dense-fragmented,cf,binary,16384,1,0.0075788209214806,ok
dense-fragmented,cf,binary,16384,2,0.0076388213783502,ok
dense-fragmented,cf,binary,16384,3,0.0075719747692346,ok
dense-fragmented,cf,binary,16384,4,0.0076324911788105,ok
dense-fragmented,cf,binary,32768,0,0.0148831335827708,ok
dense-fragmented,cf,binary,32768,1,0.0147507078945636,ok
dense-fragmented,cf,binary,32768,2,0.0147304302081465,ok
dense-fragmented,cf,binary,32768,3,0.0147466026246547,ok
dense-fragmented,cf,binary,32768,4,0.01657953299582,ok
dense-fragmented,cf,binary,65536,0,0.0294717457145452,ok
dense-fragmented,cf,binary,65536,1,0.0288396999239921,ok
dense-fragmented,cf,binary,65536,2,0.0287958895787596,ok
dense-fragmented,cf,binary,65536,3,0.0287976255640387,ok
dense-fragmented,cf,binary,65536,4,0.0287805022671818,ok
dense-fragmented,cf,binary,131072,0,0.0587736712768673,ok
dense-fragmented,cf,binary,131072,1,0.0573259806260466,ok
dense-fragmented,cf,binary,131072,2,0.0710935974493622,ok
dense-fragmented,cf,binary,131072,3,0.0467026596888899,ok
dense-fragmented,cf,binary,131072,4,0.046722394414246,ok
dense-fragmented,cf,binary,262144,0,0.0949688525870442,ok
dense-fragmented,cf,binary,262144,1,0.0927257649600505,ok
dense-fragmented,cf,binary,262144,2,0.093097535893321,ok
dense-fragmented,cf,binary,262144,3,0.092652547173202,ok
dense-fragmented,cf,binary,262144,4,0.0925776911899447,ok
dense-fragmented,cf,binary,524288,0,0.1895112739875912,ok
dense-fragmented,cf,binary,524288,1,0.2026916379109025,ok
dense-fragmented,cf,binary,524288,2,0.1872210092842579,ok
dense-fragmented,cf,binary,524288,3,0.1867947932332754,ok
dense-fragmented,cf,binary,524288,4,0.1870406717061996,ok
dense-fragmented,cf,binary,1048576,0,0.3996639708057046,ok
dense-fragmented,cf,binary,1048576,1,0.3780414974316954,ok
dense-fragmented,cf,binary,1048576,2,0.3952889144420624,ok
dense-fragmented,cf,binary,1048576,3,0.3786887042224407,ok
dense-fragmented,cf,binary,1048576,4,0.3782034926116466,ok
dense-fragmented,dair,binary,256,0,0.0005732672289013,ok
dense-fragmented,dair,binary,256,1,0.0005039377138018,ok
dense-fragmented,dair,binary,256,2,0.0004955688491463,ok
dense-fragmented,dair,binary,256,3,0.0005024494603276,ok
dense-fragmented,dair,binary,256,4,0.0004985257983207,ok
dense-fragmented,dair,binary,512,0,0.0005332315340638,ok
dense-fragmented,dair,binary,512,1,0.0005377661436796,ok
dense-fragmented,dair,binary,512,2,0.0005410751327872,ok
dense-fragmented,dair,binary,512,3,0.0005475813522934,ok
dense-fragmented,dair,binary,512,4,0.000540561042726,ok
dense-fragmented,dair,binary,1024,0,0.0006107054650783,ok
dense-fragmented,dair,binary,1024,1,0.0006277672946453,ok
dense-fragmented,dair,binary,1024,2,0.0006223749369382,ok
dense-fragmented,dair,binary,1024,3,0.0006416914984583,ok
dense-fragmented,dair,binary,1024,4,0.0006193546578288,ok
dense-fragmented,dair,binary,2048,0,0.0007312474772334,ok
dense-fragmented,dair,binary,2048,1,0.0007373159751296,ok
dense-fragmented,dair,binary,2048,2,0.0007417285814881,ok
dense-fragmented,dair,binary,2048,3,0.000751637853682,ok
dense-fragmented,dair,binary,2048,4,0.0007374696433544,ok
dense-fragmented,dair,binary,4096,0,0.001037735491991,ok
dense-fragmented,dair,binary,4096,1,0.0010514166206121,ok
dense-fragmented,dair,binary,4096,2,0.0010581538081169,ok
dense-fragmented,dair,binary,4096,3,0.001067935489118,ok
dense-fragmented,dair,binary,4096,4,0.0010459031909704,ok
dense-fragmented,dair,binary,8192,0,0.0015673907473683,ok
dense-fragmented,dair,binary,8192,1,0.0015683351084589,ok
dense-fragmented,dair,binary,8192,2,0.0015722410753369,ok
dense-fragmented,dair,binary,8192,3,0.0015853848308324,ok
dense-fragmented,dair,binary,8192,4,0.0015731761232018,ok
dense-fragmented,dair,binary,16384,0,0.0026902267709374,ok
dense-fragmented,dair,binary,16384,1,0.0026782378554344,ok
dense-fragmented,dair,binary,16384,2,0.0026755295693874,ok
dense-fragmented,dair,binary,16384,3,0.0026772813871502,ok
dense-fragmented,dair,binary,16384,4,0.002687114290893,ok
dense-fragmented,dair,binary,32768,0,0.005129917524755,ok
dense-fragmented,dair,binary,32768,1,0.005139603279531,ok
dense-fragmented,dair,binary,32768,2,0.0056484472006559,ok
dense-fragmented,dair,binary,32768,3,0.0054250126704573,ok
dense-fragmented,dair,binary,32768,4,0.0053271735087037,ok
dense-fragmented,dair,binary,65536,0,0.0100044775754213,ok
dense-fragmented,dair,binary,65536,1,0.0093322405591607,ok
dense-fragmented,dair,binary,65536,2,0.0094636995345354,ok
dense-fragmented,dair,binary,65536,3,0.0093570984899997,ok
dense-fragmented,dair,binary,65536,4,0.0094628343358635,ok
dense-fragmented,dair,binary,131072,0,0.0189639870077371,ok
dense-fragmented,dair,binary,131072,1,0.0191159313544631,ok
dense-fragmented,dair,binary,131072,2,0.0188544765114784,ok
dense-fragmented,dair,binary,131072,3,0.0190897108986973,ok
dense-fragmented,dair,binary,131072,4,0.018881868571043,ok
dense-fragmented,dair,binary,262144,0,0.0376488836482167,ok
dense-fragmented,dair,binary,262144,1,0.0367947937920689,ok
dense-fragmented,dair,binary,262144,2,0.0374478762969374,ok
dense-fragmented,dair,binary,262144,3,0.0369749441742897,ok
dense-fragmented,dair,binary,262144,4,0.0377871412783861,ok
dense-fragmented,dair,binary,524288,0,0.0750514343380928,ok
dense-fragmented,dair,binary,524288,1,0.0758827896788716,ok
dense-fragmented,dair,binary,524288,2,0.0746599938720464,ok
dense-fragmented,dair,binary,524288,3,0.0687676994130015,ok
dense-fragmented,dair,binary,524288,4,0.0607056906446814,ok
dense-fragmented,dair,binary,1048576,0,0.1261668028309941,ok
dense-fragmented,dair,binary,1048576,1,0.1239377213642001,ok
dense-fragmented,dair,binary,1048576,2,0.1256446121260523,ok
dense-fragmented,dair,binary,1048576,3,0.1243138117715716,ok
dense-fragmented,dair,binary,1048576,4,0.1261980328708887,ok
dense-fragmented,dicec,binary,256,0,0.0004128748551011,ok
dense-fragmented,dicec,binary,256,1,0.0003568138927221,ok
dense-fragmented,dicec,binary,256,2,0.0003490215167403,ok
dense-fragmented,dicec,binary,256,3,0.0003523314371705,ok
dense-fragmented,dicec,binary,256,4,0.0003544250503182,ok
dense-fragmented,dicec,binary,512,0,0.0003475891426205,ok
dense-fragmented,dicec,binary,512,1,0.000338913872838,ok
dense-fragmented,dicec,binary,512,2,0.0003386177122592,ok
dense-fragmented,dicec,binary,512,3,0.0003395471721887,ok
dense-fragmented,dicec,binary,512,4,0.0003392146900296,ok
dense-fragmented,dicec,binary,1024,0,0.0004090378060936,ok
dense-fragmented,dicec,binary,1024,1,0.0003517000004649,ok
dense-fragmented,dicec,binary,1024,2,0.000350821763277,ok
dense-fragmented,dicec,binary,1024,3,0.0003657937049865,ok
dense-fragmented,dicec,binary,1024,4,0.0003494452685117,ok
dense-fragmented,dicec,binary,2048,0,0.0004427656531333,ok
dense-fragmented,dicec,binary,2048,1,0.0003762431442737,ok
dense-fragmented,dicec,binary,2048,2,0.0003757597878575,ok
dense-fragmented,dicec,binary,2048,3,0.0003765048459172,ok
dense-fragmented,dicec,binary,2048,4,0.0003745034337043,ok
dense-fragmented,dicec,binary,4096,0,0.0004970980808138,ok
dense-fragmented,dicec,binary,4096,1,0.0004175826907157,ok
dense-fragmented,dicec,binary,4096,2,0.0004173796623945,ok
dense-fragmented,dicec,binary,4096,3,0.0004170201718807,ok
dense-fragmented,dicec,binary,4096,4,0.000416743569076,ok
dense-fragmented,dicec,binary,8192,0,0.0005915602669119,ok
dense-fragmented,dicec,binary,8192,1,0.000500276684761,ok
dense-fragmented,dicec,binary,8192,2,0.000496950931847,ok
dense-fragmented,dicec,binary,8192,3,0.0004985695704817,ok
dense-fragmented,dicec,binary,8192,4,0.0004990687593817,ok
dense-fragmented,dicec,binary,16384,0,0.0008813664317131,ok
dense-fragmented,dicec,binary,16384,1,0.0007358593866229,ok
dense-fragmented,dicec,binary,16384,2,0.0006791874766349,ok
dense-fragmented,dicec,binary,16384,3,0.0006736014038324,ok
dense-fragmented,dicec,binary,16384,4,0.0006743725389242,ok
dense-fragmented,dicec,binary,32768,0,0.0012325281277298,ok
dense-fragmented,dicec,binary,32768,1,0.0013403808698058,ok
dense-fragmented,dicec,binary,32768,2,0.0012906361371278,ok
dense-fragmented,dicec,binary,32768,3,0.0013021379709243,ok
dense-fragmented,dicec,binary,32768,4,0.0012885732576251,ok
dense-fragmented,dicec,binary,65536,0,0.0024931626394391,ok
dense-fragmented,dicec,binary,65536,1,0.0020292457193136,ok
dense-fragmented,dicec,binary,65536,2,0.0020070681348443,ok
dense-fragmented,dicec,binary,65536,3,0.0020327931270003,ok
dense-fragmented,dicec,binary,65536,4,0.0020252941176295,ok
dense-fragmented,dicec,binary,131072,0,0.0048194704577326,ok
dense-fragmented,dicec,binary,131072,1,0.0039156302809715,ok
dense-fragmented,dicec,binary,131072,2,0.0039262669160962,ok
dense-fragmented,dicec,binary,131072,3,0.003939613699913,ok
dense-fragmented,dicec,binary,131072,4,0.0039361175149679,ok
dense-fragmented,dicec,binary,262144,0,0.0092196082696318,ok
dense-fragmented,dicec,binary,262144,1,0.0073279030621051,ok
dense-fragmented,dicec,binary,262144,2,0.0073253139853477,ok
