metric,input_type,lower_is_better,taxonomy_root,taxonomy_leaf,taxonomy_path,reference_id,scenario_id,scenario_key,family,level_idx,level_factor,lead_steps,delay_steps,score_raw,score_oriented,base_score_oriented,score_gap,normalized_penalty,normalized_score
adc,binary,False,TEM,PTDM,TEM/PTDM,r4_two_close,r4_two_close__late_detection_l04,late_detection_l04,late_detection,4,0.25000000,0,14,0.24000000,0.24000000,1.00000000,0.76000000,0.81846154,0.18153846
adc,binary,False,TEM,PTDM,TEM/PTDM,r4_two_close,r4_two_close__late_detection_l05,late_detection_l05,late_detection,5,0.10000000,0,16,0.08000000,0.08000000,1.00000000,0.92000000,0.99076923,0.00923077
adc,binary,False,TEM,PTDM,TEM/PTDM,r5_single_short,r5_single_short__on_time,on_time,on_time,0,0.00000000,0,0,1.00000000,1.00000000,1.00000000,0.00000000,0.00000000,1.00000000
adc,binary,False,TEM,PTDM,TEM/PTDM,r5_single_short,r5_single_short__early_warning_l01,early_warning_l01,early_warning,1,0.25000000,4,0,1.00000000,1.00000000,1.00000000,0.00000000,0.00000000,1.00000000
adc,binary,False,TEM,PTDM,TEM/PTDM,r5_single_short,r5_single_short__early_warning_l02,early_warning_l02,early_warning,2,0.50000000,9,0,1.00000000,1.00000000,1.00000000,0.00000000,0.00000000,1.00000000
adc,binary,False,TEM,PTDM,TEM/PTDM,r5_single_short,r5_single_short__early_warning_l03,early_warning_l03,early_warning,3,0.75000000,14,0,1.00000000,1.00000000,1.00000000,0.00000000,0.00000000,1.00000000
adc,binary,False,TEM,PTDM,TEM/PTDM,r5_single_short,r5_single_short__early_warning_l04,early_warning_l04,early_warning,4,1.00000000,18,0,1.00000000,1.00000000,1.00000000,0.00000000,0.00000000,1.00000000
adc,binary,False,TEM,PTDM,TEM/PTDM,r5_single_short,r5_single_short__early_warning_l05,early_warning_l05,early_warning,5,1.25000000,22,0,1.00000000,1.00000000,1.00000000,0.00000000,0.00000000,1.00000000
adc,binary,False,TEM,PTDM,TEM/PTDM,r5_single_short,r5_single_short__late_detection_l01,late_detection_l01,late_detection,1,0.90000000,0,2,0.92857143,0.92857143,1.00000000,0.07142857,0.07692308,0.92307692
adc,binary,False,TEM,PTDM,TEM/PTDM,r5_single_short,r5_single_short__late_detection_l02,late_detection_l02,late_detection,2,0.75000000,0,4,0.71428571,0.71428571,1.00000000,0.28571429,0.30769231,0.69230769
adc,binary,False,TEM,PTDM,TEM/PTDM,r5_single_short,r5_single_short__late_detection_l03,late_detection_l03,late_detection,3,0.50000000,0,9,0.50000000,0.50000000,1.00000000,0.50000000,0.53846154,0.46153846
adc,binary,False,TEM,PTDM,TEM/PTDM,r5_single_short,r5_single_short__late_detection_l04,late_detection_l04,late_detection,4,0.25000000,0,14,0.28571429,0.28571429,1.00000000,0.71428571,0.76923077,0.23076923
adc,binary,False,TEM,PTDM,TEM/PTDM,r5_single_short,r5_single_short__late_detection_l05,late_detection_l05,late_detection,5,0.10000000,0,16,0.07142857,0.07142857,1.00000000,0.92857143,1.00000000,0.00000000
